Get a loan	loan
What’s my account number and routing	account number, number routing, routing, number
My husband's debit card isn't working	husband debit, card, isn working, husband, isn
My card won't let me spend money	let spend, card, card won, money, let
A customer has been unable to deposit checks via iTM	unable deposit, checks, itm, unable, customer
How do I change my password?	change password, password, change
Hi there AIQFinancial bank i was just having an issue i ordered something off a scam website without knowing and i spent about 60.97 worth and i really need to cancel this transaction if u could please help that would be great	cancel transaction, ordered scam, aiqfinancial bank, 97 worth, really need
Hi there! I need some help with…logging into my bank account	bank account, logging bank, help logging, hi need
Getting charged for something I don’t know what it is	getting charged, getting, don know, know, don
I need to update my online ID	online id, update online, id, need update
transactions	transactions
request statements as estate administrator	estate administrator, statements estate, request statements, request, statements
where can i find my 1099	1099
Hi there! I need some help with…	need help, hi need
I have an account and I was wondering what does it cost to make a savings account?	savings account, does cost, account wondering, cost make, wondering does
Deposited a $500 check this morning and am wondering when itt will clear?	500 check, itt clear, deposited, morning, wondering
AIQFinancial is having me change my bank log in password when i dont want to	password dont, change bank, log, having
I need the phone number changed associated with my online access to my checking account	number changed, checking account, need phone, access, associated online
Need temporary checks for one of our accounts. what to we need to do to get them	checks accounts, temporary checks, accounts need, need temporary
I have an account that is not showing up on my AIQFinancial app.  Acct # 000000	aiqfinancial app, account showing, app, acct, 000000
ageny	ageny
Trying to get a hold of a Mr major about a transaction dispute case	transaction dispute, mr major, case, hold, trying
What to do to deposit a check using my phone?	deposit check, check using, phone, check, using
Had some fraudulent activity with my online banking	fraudulent activity, online banking, fraudulent, activity online, online
I am locked out of my account, will you reset my password	reset password, locked account, reset, locked
Hi there! I need some help with…my app has locked me out	app locked, help app, locked, hi need
Hi there! I need some help with…	need help, hi need
Routing number	routing number, routing, number
Hello, this is Mark, a former employee of 22 years, (now retired). I am needing some help with my on link account. (says account Are	link account, mark employee, retired needing, 22 years, says
i need to change my phone number because my account won’t let me access it unless i text or call that number but i don’t have it	change phone, number account, access unless, text
